ID,age,gender,usage_meeting_place,usage_worship,usage_arts,usage_wellbeing,usage_connections,usage_model_sustainability,usage_flexible_community/church,activities_like_to_see,usage_services,usage_festivals,reflection,usage_suggestions,modify_exterior,modify_interior,modify_sustainable_building,modify_layout_change,modify_cafe,modify_suggestions,contribute
61,50 - 70,Male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Live music;Arts exhibitions;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Community cookery;After school club;Activities for children;Activities for young people;,Neutral,Disagree,Disagree,,Strongly Disagree,Agree,Neutral,Neutral,Agree,"I’m not a religious person but I think it’s important to respect the feelings of those who still use the building for its original purpose. I also think the integrity of the buildings structure should be kept, as much as is possible, in tact, as these old chapels and their contents are disappearing fast. 
Having said that, if making sympathetic changes to the building allows it to continue and develop as a community asset, then I would support that. ",No thanks
62,50 - 70,Male,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Agree,,Agree,Agree,Agree,Agree,Agree,,No thanks
63,50 - 70,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fitness / yoga / pilates / dance classes;Community book club;Community social events;Pop-up fruit and veg weekly market;Community cinema;Community cafe;Live theatre;Music / singing classes;Live music;Arts exhibitions;Creative workshops;Photography;,Strongly Agree,Strongly Disagree,Neutral,"I don't attend church myself but keen that others can have that opportunity if they want to.
I don't know if the church would like other spiritual activities such as Buddhist meditation etc.
It is a great space to invite speakers on different topics, particularly environmental and wildlife
Having a base for litter picks and other activities
Using the outside space for sitting and social interaction
Storage of equipment for community use
",Disagree,Neutral,Strongly Agree,Neutral,Agree,"Ideas on previous questions.
It is in a prime spot in the middle of the community and should appeal to a wide range of people without losing those who still want to use it for worship.  I think we should try and retain the character of the building.",YES -  I would be interested in becoming a volunteer
64,50 - 70,,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Photography;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Disagree,,Agree,Agree,Strongly Agree,Agree,Agree,Useful to have a focal point for community activities,
65,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Community cafe;Activities for seniors;Community coffee mornings;A place to worship;Community social events;,Strongly Agree,Agree,Neutral,"As a former member of the Church and still very local resident it is reassuring that this very valuable Community Asset may be having a new lease of life. The building has great potential and it is great to see the local Community trying to create this refreshing initiative.
Personally I have s great interest in Local History Groups so if something on these lines could also be considered that would also be a benefit.",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree," Preempted this question , please see my responses in Section 12.",No thanks
66,70 +,Can't remember,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Drama;Arts exhibitions;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Community coffee mornings;Live theatre;,Neutral,Neutral,Agree,"If somewhere safe cold be found to store materials, I would like to see a knitting group continue (Knit for Peace).",Neutral,Agree,Agree,Neutral,Strongly Agree,"The one-time local produce markets might be worth another look, perhaps in partnership with allotment holders?",No thanks
67,18 - 30,Female ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Arts exhibitions;Creative writing;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Disagree,Agree,,Neutral,Neutral,Agree,Agree,Strongly Agree,,No thanks
68,31 - 49,Female ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Creative workshops;Drama;Photography;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community social events;A toddler group;Activities for children;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Neutral,Agree,Agree,Agree,,No thanks
69,50 - 70,female,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Community book club;,Neutral,Neutral,Agree,,Disagree,Neutral,Neutral,Neutral,Strongly Agree,,YES -  I would be interested in becoming a volunteer
70,50 - 70,Female,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Creative workshops;Music / singing classes;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Agree,,Disagree,Agree,Agree,Disagree,Agree,,
71,31 - 49,Male,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Community book club;,Agree,Disagree,Agree,,Agree,Agree,Agree,Agree,Strongly Agree,,No thanks
72,50 - 70,Male,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;,Disagree,Disagree,Neutral,,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,,No thanks
73,31 - 49,Male,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Arts exhibitions;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Live music;Community social events;A toddler group;After school club;Activities for children;Activities for young people;,Neutral,Disagree,Disagree,,Agree,Neutral,Agree,Neutral,Neutral,A range of ideas here that aren't all appealing to me but would be to other parts of the community. My only concern is that the building is well used and serves a purpose.,YES -  I would be interested in becoming a volunteer
74,50 - 70,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Arts exhibitions;Pop-up fruit and veg weekly market;Live music;Live theatre;,Agree,Disagree,Neutral,,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,No thanks
75,31 - 49,Female,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Pop-up fruit and veg weekly market;Community social events;Activities for young people;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Neutral,,Agree,Strongly Agree,Agree,Agree,Agree,,No thanks
76,50 - 70,,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Strongly Agree,,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,"It would be great if this space could also be used to break down barriers between different parts of the community.  It would be great to see it promoting culturally diverse events held by BAME and LGBTQ groups to help break down barriers.   It would be fab to see members of the University community using the space to hold events.  For example, student volunteering projects such as tea parties for senior members of the community being able to use the space :-) ",No thanks
77,31 - 49,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Music / singing classes;Live theatre;Live music;Community cafe;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community social events;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Neutral,Strongly Agree,,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
78,31 - 49,Male,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;A toddler group;Activities for children;Activities for young people;Activities for seniors;,Strongly Disagree,Strongly Disagree,Neutral,,Agree,Agree,Agree,Agree,Strongly Agree,,No thanks
79,31 - 49,Female,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Drama;Photography;Arts exhibitions;Creative workshops;Live music;Music / singing classes;Live theatre;Community cinema;Activities for children;Activities for young people;,Agree,Disagree,Neutral,,Neutral,Agree,Agree,Agree,Agree,,No thanks
80,70 +,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Live music;Music / singing classes;Live theatre;Creative workshops;Pop-up fruit and veg weekly market;,Neutral,Agree,Neutral,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
81,70 +,Female ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;After school club;Creative writing;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I have been very fortunate to be involved with many activities and organisations that have taken place at the  Garden Lane Church. It is an amazing community space and deserves to be upgraded but keeping its many features. Opening it up to more uses both secular and religious. ,
82,70 +,Female,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Arts exhibitions;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community social events;,Agree,Agree,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,,No thanks
83,50 - 70,Female ,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Agree,Strongly Agree,,Agree,Agree,Agree,Neutral,Strongly Agree,Would be really good to  accommodate disabled people too🍀sounds Amazing 🍀good luck 🤩🎶👏 ,No thanks
84,31 - 49,Male,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Community cafe;Community cinema;Community social events;Community cookery;,Neutral,Strongly Disagree,Strongly Agree,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
85,31 - 49,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Arts exhibitions;Creative writing;Music / singing classes;Live music;Live theatre;Community cafe;Community coffee mornings;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;Community cinema;Photography;,Strongly Agree,Strongly Agree,Strongly Agree,"This could be made into a true community hub. With a refreshed exterior this could be a truly welcoming venue, for young and old, whilst enhance the spirit of community in the Garden Quarter. It could open up to Volunteers and encourage entrepreneurship, for local trade to exhibit and sell. The opportunities are endless and I would very much like to see this happen.",Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,"A cafe would be a true magnet and central focus, for all young and old. I know this would be most welcomed by most residents I know. This would then open up further opportunities for other activities, gatherings, local produce sales, exhibitions, book clubs, a space to open up to pop up artists, a place to learn and a place to flourish opportunity. ",YES -  I would be interested in becoming a volunteer
86,31 - 49,,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,,No thanks
87,50 - 70,,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Fitness / yoga / pilates / dance classes;Community cinema;Photography;Music / singing classes;Live music;Arts exhibitions;Creative workshops;,Neutral,Neutral,Agree,,Neutral,Neutral,Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
88,18 - 30,Male,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Live music;Music / singing classes;Community cafe;Live theatre;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Agree,,Neutral,Neutral,Agree,Agree,Agree,,No thanks
89,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Live theatre;Arts exhibitions;Creative workshops;Live music;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community social events;Community book club;,Neutral,Neutral,Neutral,I am an active member in another church in Chester so would tend to go there for the above mentioned ideas.,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,"Great idea, like the idea of a free book exchange, surely we can do something with the original ""digital lcd"" design of the windows. Create a type font perhaps? Would be a nice link to the past.",YES -  I would be interested in becoming a volunteer
90,18 - 30,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live music;Live theatre;Community cafe;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Agree,Agree,Neutral,,Neutral,Neutral,Agree,Agree,Agree,,No thanks
91,31 - 49,Female ,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Agree,Agree,This is a brilliant project. A place where people who live on their own can go and feel part of our incredible community.  I feel that offering young and old people alike a place to communicate and feel safe is key to happier life for everyone. ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
92,50 - 70,Male,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Community social events;Community cinema;Pop-up fruit and veg weekly market;,Neutral,Neutral,Neutral,,Neutral,Agree,Disagree,Neutral,Neutral,,No thanks
93,50 - 70,Female,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Community social events;A toddler group;Pop-up fruit and veg weekly market;Counselling / wellbeing services;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Agree,,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,If the space can develop into a community hub then it would be a great place to signpost other services from - a gateway to help and support which can be accessed further afield,YES -  I would be interested in becoming a volunteer
94,31 - 49,M,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Drama;Photography;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;A toddler group;After school club;Activities for children;,Neutral,Neutral,Agree,,Neutral,Neutral,Agree,Neutral,Agree,,YES -  I would be interested in becoming a volunteer
95,50 - 70,Male,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Arts exhibitions;Creative writing;Live music;Live theatre;Community cafe;Pop-up fruit and veg weekly market;,Strongly Agree,Neutral,Agree,,Neutral,Agree,Strongly Agree,Agree,Agree,"Post pandemic, a number of meeting places/spaces have ceased to operate which has impacted on many groups. An example would be the mental health charity Chapter who have a number of projects they'd like to operate in Chester but struggle fo a venue. The Uniting Church is an ideal space for a range of activities, well located and benefitting from the solid community spirit surrounding it. The word ""hub"" is tossed around fairly liberally but, in this instance, I feel that the church could be a vibrant and energizing centre for all that the area, and beyond, has to offer. ",YES -  I would be interested in becoming a volunteer
96,70 +,Female ,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Live music;Music / singing classes;Live theatre;Community cafe;Community social events;Activities for seniors;,Agree,Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
97,70 +,Female,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Activities for children;Fitness / yoga / pilates / dance classes;Creative workshops;Arts exhibitions;,Neutral,Agree,Agree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,the centre should focus on all children. Some local children have little exposure to the arts and this could be their opportunity to engage. ,
98,50 - 70,Female ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Drama;Creative workshops;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Strongly Agree,Neutral,,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,"I have been very lucky to attend this church as a rehearsal space for community theatre. These projects are vital to our city and community 
To have a modern space that could be enjoyed by so many varied age/faith/non faith community groups would be amazing 
The garden quarter residents over many years have worked tirelessly to keep their community together and I think they deserve it ",YES -  I would be interested in becoming a volunteer
99,50 - 70,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Arts exhibitions;Creative workshops;Drama;Photography;Live music;Live theatre;Music / singing classes;Creative writing;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Activities for seniors;Activities for young people;Activities for children;After school club;A toddler group;Community social events;A place to worship;Community coffee mornings;Counselling / wellbeing services;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Neutral,Agree,Alternative medicines like chiropractor? ,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"A place for picking up online orders? 
A place for newcomers to the area to meet locals? 
A place for homesick and unsettled students to find a friendly face? 
A place for lonely locals to find others 
A place for senior exercise groups? 
",YES -  I would be interested in becoming a volunteer
100,70 +,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Community cafe;Community coffee mornings;Counselling / wellbeing services;Community cinema;Community social events;Activities for seniors;,Strongly Agree,Neutral,Strongly Agree,,Agree,Agree,Strongly Agree,Agree,Agree,"It would be great if the weekly knit&natter group, making items for charity, could be restarted.",No thanks
101,31 - 49,Female,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Creative workshops;Community cinema;Pop-up fruit and veg weekly market;Community social events;A toddler group;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Disagree,Disagree,,Neutral,Agree,Agree,Neutral,Strongly Agree,"Used to go to Pilates here and wash test!
Also loved the Xmas market here years back.
Cafe, book club, jumble sales, allotment produce sales would all be really good.",No thanks
102,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Music / singing classes;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community book club;Fitness / yoga / pilates / dance classes;Activities for seniors;Activities for young people;Activities for children;After school club;A toddler group;Community social events;Community cookery;A place to worship;,Agree,Neutral,Neutral,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Such a wonderful space to open up to so many in   the community, just to have a building which could be used for so many activities would be amazing.",No thanks
103,18 - 30,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Live theatre;Community cafe;Community cinema;,Neutral,Neutral,Neutral,,Neutral,Agree,Strongly Agree,Agree,Agree,,No thanks
104,50 - 70,Female,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Music / singing classes;Community cafe;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Live music;,Disagree,Disagree,Neutral,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
105,50 - 70,Female ,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Fitness / yoga / pilates / dance classes;Activities for young people;Activities for children;Counselling / wellbeing services;Community cookery;Community social events;,Neutral,Neutral,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
106,50 - 70,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Neutral,Neutral,,Neutral,Agree,Strongly Agree,Neutral,Agree,,
107,70 +,M,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cinema;Community social events;,Agree,Neutral,Neutral,,Disagree,Agree,Strongly Agree,Agree,Agree,,
108,50 - 70,Female,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Drama;Creative workshops;Photography;Arts exhibitions;Creative writing;Live music;Live theatre;Community cafe;Community coffee mornings;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Agree,,Neutral,Agree,Agree,Agree,Agree,,No thanks
109,31 - 49,,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community social events;Community book club;,Agree,Agree,Neutral,,Neutral,Neutral,Neutral,Agree,Neutral,,
110,31 - 49,Male,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Drama;Creative workshops;Live music;Music / singing classes;Community cinema;Fitness / yoga / pilates / dance classes;,Neutral,Disagree,Disagree,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
111,50 - 70,Female ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,It should be a focal point for the community in terms of accessing arts/culture and information. It should also provide quiet space and facilitate friendship throughout the community ,
112,31 - 49,Female ,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Creative workshops;Live music;Music / singing classes;Live theatre;Community cafe;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Neutral,Disagree,Disagree,,Agree,Agree,Agree,Disagree,Strongly Agree,The outdoor cafe part would bring a great addition to the area ,No thanks
113,50 - 70,Female ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Agree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,This could develop more community links 😊,YES -  I would be interested in becoming a volunteer
114,31 - 49,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Creative writing;Live music;Music / singing classes;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Community cookery;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,,Neutral,Neutral,Neutral,Agree,Agree,,YES -  I would be interested in becoming a volunteer
115,70 +,Woman,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Arts exhibitions;Community cafe;Community coffee mornings;Community cinema;Community social events;Community book club;,Agree,Agree,Neutral,,Neutral,Agree,Agree,Agree,Strongly Agree,"One of the best ways to combat social isolation and loneliness that can lead to depression and mental health issues is the provision of community spaces - a place where people can feel they ‘belong’ / where they can drop in to find out what’s happening in the neighbourhood / seek advice / stop by for a coffee/ pick up a second hand book/ homeworkers can bring in their laptops to escape from the ‘4 walls / parents can meet up on their way to drop off / pick up schoolchildren/ residents can find tried and tested tradespeople like plumbers / plasterers / dog walkers etc.
",YES -  I would be interested in becoming a volunteer
116,50 - 70,Female,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Photography;Arts exhibitions;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;,Neutral,Strongly Disagree,Disagree,,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,"There is no community hub for this area and having one would hopefully be an inclusive, cohesive act",
117,31 - 49,Female,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Drama;Creative workshops;Live music;Live theatre;Community cinema;Community social events;,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Agree,Agree,,No thanks
118,50 - 70,Female ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Arts exhibitions;Music / singing classes;Community social events;Drama;,Neutral,Neutral,Neutral,"Individuals to offer classes, music lessons 
Etc",Agree,Neutral,Neutral,Agree,Agree,,No thanks
119,50 - 70,Female,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Creative workshops;Live theatre;Drama;Photography;Live music;Arts exhibitions;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Strongly Disagree,Strongly Agree,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
